"","intentie","opl.niveau","attitudes","pcg","psn","leeftijd","geslacht"
"539",1,1,5.5,6.5,4.66666666666667,25,0
"540",1,3,7,5.75,3.66666666666667,23,0
"541",1,1,4.83333333333333,4.25,4,55,1
"542",0,1,6.5,5.25,4,61,0
"543",1,1,6.66666666666667,6.75,6.33333333333333,56,1
"544",0,1,5.33333333333333,3.5,5.33333333333333,30,1
"545",0,1,6,5,2,63,1
"546",0,2,6.5,6.25,3,50,1
"547",0,1,3.83333333333333,3.75,2,63,0
"548",0,3,6.16666666666667,4,3.33333333333333,31,1
"549",1,1,2,5,2,30,0
"550",0,1,4.33333333333333,4.25,4,43,1
"551",0,2,4.66666666666667,5.5,1.66666666666667,54,1
"552",1,3,5.5,4.25,5.33333333333333,26,0
"553",0,1,4,4.5,2.33333333333333,64,1
"554",1,2,5.83333333333333,5,5,25,0
"555",0,1,4.16666666666667,3.5,1.33333333333333,61,0
"556",1,1,4.83333333333333,5,6,47,1
"557",0,1,7,5,1,39,1
